Location,Time,Lighting,Traffic_Density,Crime_Rate,Police_Presence,Public_Transport_Availability,CCTV_Presence,Population_Density,Safe_Road
Alleyway,19:52,No lighting,0.3,0.65,1,0,0,0.15,0
Market Area,18:21,No lighting,0.35,0.32,0,0,0,0.83,0
Commercial District,04:35,Poorly-lit,0.04,0.56,0,0,1,0.76,0
Public Transport Hub,20:13,No lighting,0.04,0.39,0,1,0,0.83,0
Alleyway,02:44,No lighting,0.17,0.76,0,0,0,0.29,0
Residential Area,19:36,Well-lit,0.47,0.26,0,0,1,0.43,1
Industrial Zone,19:46,Poorly-lit,0.17,0.72,0,0,0,0.24,0
Alleyway,18:00,Moderately-lit,0.01,0.93,0,0,0,0.11,0
University Campus,20:02,No lighting,0.16,0.27,1,0,1,0.48,0
Residential Area,21:23,Well-lit,0.58,0.17,1,0,1,0.55,1
Alleyway,03:38,Well-lit,0.11,0.87,0,1,0,0.15,0
Public Transport Hub,00:53,Poorly-lit,0.38,0.38,1,1,0,0.72,0
Residential Area,18:27,Well-lit,0.11,0.18,1,0,1,0.54,1
Suburban Street,00:01,Well-lit,0.03,0.37,0,1,0,0.41,1
Suburban Street,04:38,Poorly-lit,0.27,0.39,0,1,1,0.56,0
Residential Area,20:05,No lighting,0.67,0.35,1,0,0,0.51,0
Residential Area,20:28,Poorly-lit,0.13,0.09,1,0,1,0.52,0
Suburban Street,03:40,No lighting,0.23,0.27,1,0,1,0.57,0
Suburban Street,00:10,No lighting,0.02,0.26,1,0,0,0.53,0
Commercial District,19:29,Moderately-lit,0.07,0.62,0,1,1,0.9,1
Residential Area,03:02,Moderately-lit,0.22,0.26,1,0,1,0.54,1
Public Transport Hub,05:21,Well-lit,0.17,0.48,1,1,1,0.83,1
Industrial Zone,01:49,Moderately-lit,0.45,0.64,1,0,0,0.13,0
University Campus,05:16,Poorly-lit,0.32,0.24,1,0,0,0.52,0
Public Transport Hub,01:23,Moderately-lit,0.08,0.37,1,1,0,0.78,1
Residential Area,19:43,Poorly-lit,0.02,0.14,1,0,0,0.43,0
Suburban Street,01:39,Poorly-lit,0.09,0.3,1,1,0,0.57,0
Alleyway,00:32,No lighting,0.14,0.93,1,0,0,0.22,0
Market Area,02:11,No lighting,0.09,0.43,1,0,0,0.9,0
University Campus,22:05,No lighting,0.11,0.38,1,0,0,0.41,0
Park,20:40,Well-lit,0.0,0.58,0,0,1,0.21,1
Commercial District,04:37,Poorly-lit,0.03,0.65,0,1,1,0.8,0
Alleyway,20:13,Well-lit,0.17,0.67,0,0,0,0.22,0
Residential Area,01:36,Moderately-lit,0.41,0.28,1,0,1,0.59,1
University Campus,05:30,No lighting,0.51,0.24,1,0,0,0.53,0
Market Area,02:02,No lighting,0.61,0.48,1,1,0,0.8,0
Market Area,01:08,Moderately-lit,0.44,0.4,0,1,0,0.87,0
Commercial District,03:19,Moderately-lit,0.33,0.63,0,1,1,0.83,1
Industrial Zone,19:33,Moderately-lit,0.05,0.62,0,0,1,0.11,0
Commercial District,03:18,Well-lit,0.13,0.53,1,1,1,0.72,1
Public Transport Hub,20:30,No lighting,0.79,0.35,1,1,0,0.79,0
Commercial District,21:30,Poorly-lit,0.37,0.52,0,1,1,0.87,0
Park,05:45,Well-lit,0.56,0.65,0,1,0,0.27,1
Suburban Street,05:55,Poorly-lit,0.49,0.18,0,1,0,0.41,0
Park,19:27,Moderately-lit,0.61,0.58,0,0,0,0.19,0
Public Transport Hub,04:34,Well-lit,0.38,0.57,0,0,0,0.85,1
Main Road,23:40,Well-lit,0.12,0.47,1,1,0,0.29,1
Market Area,05:29,Poorly-lit,0.6,0.45,0,0,0,0.85,0
Alleyway,03:11,Well-lit,0.31,0.89,0,0,0,0.25,0
Industrial Zone,22:02,Well-lit,0.11,0.66,0,1,0,0.15,0
Market Area,02:40,Well-lit,0.59,0.43,0,0,0,0.79,1
Commercial District,04:04,No lighting,0.02,0.58,1,1,0,0.75,0
Public Transport Hub,04:58,Well-lit,0.01,0.61,0,1,1,0.81,1
Alleyway,20:11,Moderately-lit,0.04,0.88,0,0,1,0.16,0
Commercial District,05:55,No lighting,0.13,0.62,0,1,0,0.83,0
Alleyway,20:10,Poorly-lit,0.51,0.7,1,0,0,0.27,0
Industrial Zone,21:17,Moderately-lit,0.52,0.68,1,0,1,0.22,0
Public Transport Hub,23:39,Poorly-lit,0.21,0.63,0,1,0,0.9,0
Suburban Street,22:30,No lighting,0.34,0.2,1,0,0,0.43,0
Market Area,22:55,No lighting,0.26,0.46,1,0,0,0.83,0
Residential Area,19:26,Well-lit,0.25,0.3,0,1,1,0.44,1
Industrial Zone,20:15,Well-lit,0.24,0.75,1,1,0,0.25,1
Main Road,22:02,Well-lit,0.06,0.38,1,1,0,0.12,1
University Campus,02:06,Well-lit,0.51,0.34,0,0,1,0.45,1
Park,05:04,Moderately-lit,0.12,0.52,1,1,0,0.25,0
Residential Area,00:30,Moderately-lit,0.17,0.07,1,0,0,0.45,1
Suburban Street,00:46,Poorly-lit,0.13,0.21,1,0,0,0.46,0
Suburban Street,04:35,Poorly-lit,0.28,0.24,1,0,0,0.53,0
Market Area,23:13,Well-lit,0.11,0.51,0,0,0,0.84,1
University Campus,18:15,Well-lit,0.07,0.23,0,1,1,0.42,1
Park,00:46,Moderately-lit,0.32,0.68,0,0,0,0.2,0
Market Area,01:58,Poorly-lit,0.41,0.3,1,0,0,0.86,0
Park,00:45,Moderately-lit,0.14,0.66,0,0,0,0.26,0
Public Transport Hub,03:36,Poorly-lit,0.11,0.47,1,1,0,0.81,0
University Campus,02:04,Poorly-lit,0.14,0.42,1,0,1,0.47,0
Public Transport Hub,19:21,No lighting,0.27,0.65,1,1,1,0.78,1
Park,21:51,Well-lit,0.56,0.54,1,0,0,0.17,1
Main Road,20:20,Moderately-lit,0.24,0.41,0,0,1,0.11,0
Park,20:34,Moderately-lit,0.09,0.72,0,0,0,0.28,0
Market Area,02:41,Poorly-lit,0.4,0.37,0,0,0,0.89,0
Industrial Zone,04:15,Well-lit,0.52,0.67,0,0,0,0.18,0
Public Transport Hub,19:57,No lighting,0.12,0.35,1,1,1,0.79,1
Public Transport Hub,19:05,No lighting,0.29,0.61,0,1,1,0.84,0
Main Road,03:15,Moderately-lit,0.48,0.46,1,1,1,0.1,1
Suburban Street,04:59,Poorly-lit,0.6,0.21,1,1,0,0.5,0
Main Road,02:42,No lighting,0.01,0.25,0,1,1,0.26,0
University Campus,21:39,Well-lit,0.02,0.19,1,0,0,0.45,1
Commercial District,05:45,Moderately-lit,0.01,0.39,0,0,0,0.77,0
Market Area,20:03,No lighting,0.03,0.35,1,0,0,0.76,0
Industrial Zone,05:12,Well-lit,0.09,0.64,0,0,0,0.2,1
Commercial District,01:16,Well-lit,0.61,0.49,0,1,1,0.75,1
Alleyway,23:39,Poorly-lit,0.63,0.92,0,0,0,0.12,0
Public Transport Hub,22:38,Moderately-lit,0.02,0.46,1,1,1,0.74,1
Market Area,20:33,Poorly-lit,0.72,0.5,0,0,0,0.73,0
Market Area,05:53,Poorly-lit,0.32,0.49,0,0,0,0.73,0
Park,18:29,Poorly-lit,0.08,0.68,1,1,0,0.15,0
Park,05:49,Poorly-lit,0.02,0.6,0,1,1,0.2,0
Residential Area,05:38,Poorly-lit,0.29,0.32,1,1,0,0.54,0
Suburban Street,22:33,Moderately-lit,0.33,0.41,1,0,0,0.55,0
Residential Area,18:56,Well-lit,0.11,0.1,1,0,1,0.47,1
Main Road,19:10,No lighting,0.16,0.26,1,1,0,0.19,0
Commercial District,21:17,Moderately-lit,0.67,0.47,0,0,0,0.71,0
Main Road,00:23,Moderately-lit,0.43,0.38,0,0,0,0.27,0
Suburban Street,21:17,Poorly-lit,0.53,0.35,1,1,1,0.49,1
Market Area,04:04,Moderately-lit,0.47,0.34,1,0,0,0.81,1
Park,01:34,No lighting,0.25,0.52,1,0,0,0.15,0
Market Area,03:31,Well-lit,0.23,0.33,1,1,0,0.72,1
University Campus,05:51,Poorly-lit,0.12,0.21,1,1,0,0.46,1
Market Area,20:28,Poorly-lit,0.01,0.49,0,0,0,0.74,0
Industrial Zone,01:53,No lighting,0.12,0.82,0,1,0,0.29,0
Market Area,00:10,Moderately-lit,0.08,0.27,1,0,1,0.71,1
Commercial District,03:07,Well-lit,0.49,0.54,0,1,1,0.75,1
Alleyway,20:08,Poorly-lit,0.38,0.8,0,0,1,0.21,0
Main Road,18:17,Poorly-lit,0.1,0.35,1,1,1,0.25,1
Public Transport Hub,01:20,Poorly-lit,0.02,0.6,0,1,1,0.73,0
Commercial District,01:14,Well-lit,0.12,0.55,0,1,1,0.8,1
Commercial District,02:49,Poorly-lit,0.19,0.61,0,1,1,0.76,0
Market Area,02:29,Poorly-lit,0.21,0.45,0,0,0,0.81,0
Commercial District,02:59,Moderately-lit,0.25,0.46,0,1,0,0.86,0
Commercial District,21:12,Well-lit,0.33,0.64,1,1,1,0.74,1
Industrial Zone,21:08,No lighting,0.1,0.56,1,1,1,0.21,0
Alleyway,05:37,No lighting,0.05,0.74,0,0,1,0.26,0
Industrial Zone,20:05,Well-lit,0.46,0.84,0,1,0,0.22,0
Industrial Zone,20:13,Well-lit,0.57,0.64,0,0,0,0.19,0
Market Area,23:13,Poorly-lit,0.27,0.32,1,0,0,0.84,0
